"name","date","fullSize","docSize","vendorSize"
"https://raw.githubusercontent.com/stripe/openapi/master/openapi/spec3.beta.sdk.yaml","2022-09-06T08:51:24.350Z",3156228,252618,226740
"https://raw.githubusercontent.com/kubernetes/kubernetes/master/api/openapi-spec/swagger.json","2022-09-06T08:51:24.385Z",3204762,953363,116996
"https://petstore.swagger.io/v2/swagger.json","2022-09-06T08:51:24.385Z",13843,3324,0
